sqft_living,bedrooms,bathrooms,price
1180,3,1.0,221900.0
2570,3,2.25,538000.0
770,2,1.0,180000.0
1960,4,3.0,604000.0
1680,3,2.0,510000.0
1715,3,2.25,257500.0
1060,3,1.5,291850.0
1780,3,1.0,229500.0
1890,3,2.5,323000.0
3560,3,2.5,662500.0
1160,2,1.0,468000.0
1430,3,1.0,310000.0
1370,3,1.75,400000.0
1810,5,2.0,530000.0
2950,4,3.0,650000.0
1890,3,2.0,395000.0
1600,4,1.0,485000.0
1200,2,1.0,189000.0
1250,3,1.0,230000.0
1620,4,1.75,385000.0
3050,3,2.75,2000000.0
2270,5,2.5,285000.0
1070,2,1.5,252700.0
2450,3,2.25,329000.0
1710,3,2.0,233000.0
2450,3,1.75,937000.0
1400,3,1.0,667000.0
1520,3,1.75,438000.0
2570,4,2.5,719000.0
2320,3,2.5,580500.0
1190,2,1.5,280000.0
2330,4,1.75,687500.0
1090,3,1.0,535000.0
2060,4,2.75,322500.0
2300,3,2.5,696000.0
1660,4,1.0,550000.0
2360,4,2.0,640000.0
1220,4,1.0,240000.0
2620,4,2.5,605000.0
2570,4,2.5,625000.0
4220,4,2.25,775000.0
3595,5,2.75,861990.0
1570,3,1.0,685000.0
1280,3,1.0,309000.0
3160,3,2.5,488000.0
990,3,1.0,210490.0
2290,4,2.5,785000.0
1250,3,1.75,450000.0
2753,3,2.5,1350000.0
1190,3,1.0,228000.0
3150,5,2.5,345000.0
1410,3,1.75,600000.0
1980,2,1.75,585000.0
2730,5,2.25,920000.0
2830,4,2.5,885000.0
2250,4,2.5,292500.0
2420,3,2.5,301000.0
3250,5,3.25,951000.0
1850,4,3.0,430000.0
2150,3,2.25,650000.0
1260,3,1.75,289000.0
2519,3,1.75,505000.0
1540,3,1.75,549000.0
1660,3,2.25,425000.0
2770,3,2.75,317625.0
2720,4,2.5,975000.0
2240,4,2.5,287000.0
1000,3,1.0,204000.0
3200,5,2.25,1325000.0
4770,5,3.25,1040000.0
1260,3,2.0,325000.0
2750,4,2.0,571000.0
2380,4,2.5,360000.0
1790,3,1.75,349000.0
3430,4,4.0,832500.0
1760,4,1.75,380000.0
1040,3,1.0,480000.0
1410,3,1.0,410000.0
3450,4,2.5,720000.0
2350,3,2.5,390000.0
1900,4,2.5,360000.0
2020,2,1.0,355000.0
1680,3,1.5,356000.0
960,3,1.0,315000.0
2140,3,1.5,940000.0
2660,5,2.25,305000.0
2770,3,3.25,461000.0
1610,2,2.25,215000.0
1030,2,1.75,335000.0
1980,4,2.5,243500.0
3520,5,2.75,1099880.0
1200,3,1.0,153000.0
1580,3,1.5,430000.0
1580,3,1.5,700000.0
3300,4,2.5,905000.0
1960,3,1.75,247500.0
1160,4,1.5,199000.0
1810,3,1.75,314000.0
2320,3,2.5,437500.0
2070,3,2.5,850830.0
1980,3,2.0,555000.0
2190,3,2.25,699950.0
2920,3,2.5,1088000.0
1210,3,1.0,290000.0
2340,3,2.5,375000.0
1670,3,1.0,460000.0
1240,2,1.75,188500.0
3140,4,2.5,680000.0
2030,5,1.75,470000.0
2310,4,2.5,597750.0
1260,3,1.75,570000.0
1540,3,1.75,272500.0
2080,3,1.75,329950.0
3230,4,2.5,480000.0
4380,3,3.5,740500.0
1590,3,3.5,518500.0
880,2,1.0,205425.0
1570,4,2.0,171800.0
1610,4,1.0,535000.0
2400,3,2.5,660000.0
1450,3,2.0,391500.0
770,2,1.0,395000.0
2100,4,1.75,445000.0
2910,3,2.25,770000.0
2750,4,2.75,1450000.0
2100,3,2.25,445000.0
2160,4,2.25,260000.0
2320,5,3.5,822500.0
2070,4,2.5,430000.0
1060,3,1.75,212000.0
2010,4,2.25,660500.0
3950,3,3.5,784000.0
2010,3,2.5,453246.0
2140,4,3.5,675000.0
1320,3,1.75,199000.0
2020,4,1.75,220000.0
2590,4,2.25,452000.0
1190,2,1.0,382500.0
1170,3,2.25,519950.0
1110,2,1.0,665000.0
2820,5,2.5,527700.0
1610,3,1.0,205000.0
1060,3,1.0,420000.0
2030,4,2.25,500000.0
3670,4,2.5,921500.0
2550,4,1.0,890000.0
2420,2,2.5,430000.0
2260,5,2.0,258000.0
1430,3,1.0,511000.0
1360,3,2.0,532170.0
1110,3,1.0,560000.0
1250,3,1.0,282950.0
700,1,1.0,350000.0
1180,3,1.0,215000.0
3960,5,3.5,650000.0
2640,4,2.75,320000.0
1270,3,2.0,247000.0
1760,4,1.75,320000.0
2060,5,2.25,255000.0
1780,3,1.75,438000.0
3400,3,2.5,900000.0
1910,3,2.75,441000.0
2020,3,2.0,420000.0
1580,3,1.75,370000.0
1340,2,1.75,269950.0
2680,4,2.5,807100.0
2680,3,2.5,653000.0
1370,3,2.0,371500.0
1560,3,1.75,284000.0
2160,3,1.75,272000.0
1340,3,1.5,313000.0
3880,4,2.5,917500.0
2590,4,2.25,673000.0
1120,3,2.5,425000.0
1970,5,2.75,399950.0
1220,3,1.0,385000.0
1950,3,1.5,269950.0
1350,2,1.0,330000.0
1670,3,2.5,260000.0
2380,4,3.0,470000.0
2440,4,3.0,589000.0
1050,2,1.5,163500.0
3130,4,2.75,835000.0
4090,5,3.0,1095000.0
1490,4,1.75,269000.0
1900,3,2.5,560000.0
1330,4,1.0,615000.0
2230,3,2.25,585188.0
1650,3,1.75,305000.0
1190,3,1.0,166950.0
2140,3,2.5,799000.0
2180,3,2.5,400000.0
1060,3,1.0,230000.0
1690,3,2.5,256883.0
1970,4,2.0,423000.0
2150,3,2.5,465000.0
1910,3,2.5,440000.0
1350,3,1.75,385000.0
860,3,1.0,210000.0
1940,3,2.5,297000.0
1010,3,1.0,470000.0
1300,3,1.5,226500.0
910,3,1.0,274250.0
2480,4,1.75,840000.0
2440,3,2.5,677900.0
1010,3,1.0,425000.0
900,2,0.75,180250.0
2300,6,3.0,464000.0
1550,4,2.25,320000.0
1270,3,2.25,625504.0
2240,4,2.5,592500.0
2714,3,2.5,465000.0
1720,4,2.75,477000.0
850,2,1.0,280000.0
3300,5,3.0,1505000.0
2250,3,2.5,445838.0
3900,2,2.25,1072000.0
1320,2,1.5,467000.0
2760,4,2.5,686000.0
1750,3,2.0,279950.0
2330,4,2.25,527000.0
2220,3,2.25,325000.0
2020,3,2.25,328000.0
1250,3,2.25,390000.0
1510,2,2.0,479950.0
1720,4,2.25,264950.0
1430,3,1.0,235000.0
1480,3,2.5,516500.0
1450,2,1.75,655000.0
2280,4,2.75,500000.0
2940,6,2.75,315000.0
1000,2,1.0,213000.0
2480,3,1.5,475000.0
3760,5,4.0,1025000.0
2220,3,2.0,416000.0
1970,4,1.0,410000.0
3830,3,3.5,800000.0
4410,6,2.5,472000.0
1430,3,1.75,225000.0
830,2,1.0,210000.0
1430,2,1.0,455000.0
1300,3,1.0,225000.0
1030,2,1.0,480000.0
2740,3,2.5,363000.0
3650,4,2.5,2400000.0
720,2,1.5,181000.0
2010,4,2.0,250000.0
1560,3,1.75,481000.0
1810,3,2.0,260000.0
3360,4,2.5,455000.0
1510,3,2.25,415000.0
1400,3,1.0,349500.0
1730,3,2.5,245000.0
1420,2,2.0,592500.0
2360,4,1.75,385000.0
1580,3,1.75,315000.0
1230,3,1.0,255000.0
2460,4,2.5,693000.0
1660,3,1.0,780000.0
1270,3,1.75,237000.0
2100,3,2.25,525000.0
770,2,1.0,425000.0
760,1,0.75,369900.0
1700,4,2.5,290000.0
1120,3,1.0,285000.0
1070,2,1.0,415000.0
2070,3,2.5,272500.0
1040,2,1.0,436000.0
1700,3,1.0,210000.0
1300,3,1.0,236000.0
1080,3,1.75,331000.0
2653,3,2.5,365000.0
2290,3,2.0,450000.0
3820,4,2.75,770000.0
2210,4,2.5,455000.0
2390,3,1.75,405000.0
2600,4,1.75,304900.0
860,2,1.0,170000.0
3830,5,3.0,2050000.0
3500,4,2.5,780000.0
2420,3,3.0,330000.0
2720,4,2.5,370000.0
2500,5,2.25,467000.0
1670,3,1.75,405000.0
2900,5,2.25,675000.0
1640,2,1.0,500000.0
1890,4,2.5,389999.0
2950,4,1.75,630000.0
2160,4,2.5,360000.0
3280,4,3.0,580000.0
1970,3,2.0,550000.0
3360,4,2.5,879000.0
1320,3,2.0,265000.0
2650,3,2.5,446500.0
2030,3,1.5,404000.0
1590,3,1.75,267500.0
4550,4,5.0,3075000.0
2440,3,2.5,335000.0
1940,3,2.5,576000.0
2040,3,2.5,208633.0
2200,3,2.25,315000.0
1920,3,1.75,725000.0
1800,4,2.75,550000.0
2180,4,2.25,610750.0
1010,2,1.0,550700.0
3320,4,2.75,665000.0
2370,4,2.5,834000.0
1660,5,1.75,201000.0
3650,5,2.5,2384000.0
4290,4,3.25,1384000.0
4290,4,3.25,1400000.0
1950,4,2.25,305000.0
2590,3,2.0,487000.0
1930,3,2.5,390000.0
1470,2,1.0,548000.0
800,4,1.0,268750.0
3150,5,2.75,819900.0
2030,3,2.25,520000.0
1450,3,2.0,230000.0
1510,3,1.75,240000.0
1240,2,1.0,232000.0
1240,2,1.0,240500.0
3030,3,2.5,274975.0
2050,4,2.0,740000.0
1000,3,1.0,186375.0
2370,3,2.25,790000.0
2800,4,3.5,880000.0
2240,6,1.75,279000.0
1810,3,2.0,295000.0
1070,2,1.0,640000.0
2490,4,2.0,940000.0
1960,4,2.5,260000.0
2930,3,2.75,559900.0
1510,4,2.0,791500.0
1420,3,1.75,265000.0
1740,3,1.75,245000.0
2560,4,1.75,485000.0
3040,4,3.5,684000.0
2500,3,1.75,425000.0
1275,4,1.75,309600.0
2580,4,2.5,552250.0
1000,4,1.0,165000.0
1000,4,1.0,239900.0
1070,2,1.0,320000.0
1390,3,2.0,206600.0
2500,4,1.75,387000.0
560,1,0.75,299000.0
2270,4,2.75,855000.0
1900,3,1.0,315000.0
990,2,1.0,437500.0
1550,4,1.5,252000.0
2200,4,1.75,375000.0
1910,4,2.5,300000.0
1750,4,1.0,420000.0
1330,3,1.0,900000.0
2440,3,2.5,679900.0
1640,3,2.5,463000.0
2760,5,2.5,380000.0
1820,4,2.5,329500.0
2110,3,2.5,604950.0
3040,5,2.5,795000.0
1840,3,2.0,465000.0
2990,4,2.5,673000.0
3520,4,2.5,810000.0
2440,4,2.75,785000.0
2090,4,3.0,338000.0
1430,3,2.25,280000.0
2180,4,2.25,315000.0
2180,4,2.25,530000.0
3450,5,3.0,380000.0
1450,3,2.25,297000.0
3230,4,2.5,730000.0
1640,3,1.75,450000.0
1590,3,3.0,275000.0
2020,4,2.0,595000.0
1300,3,1.5,435000.0
1380,2,1.5,270000.0
4040,3,3.0,950000.0
2130,4,2.25,389000.0
2550,4,2.25,560000.0
4800,5,3.5,1350000.0
2510,4,2.25,799000.0
1410,3,2.0,365500.0
1650,3,2.0,252350.0
2120,4,2.5,403950.0
2040,4,1.5,385000.0
1550,4,1.0,345000.0
1980,3,2.75,490000.0
1600,3,2.5,330000.0
3300,4,2.75,927000.0
3840,4,2.5,1118000.0
1220,2,1.0,330000.0
2720,5,2.25,530000.0
1940,4,2.0,365000.0
2160,3,2.5,378750.0
1530,4,1.75,269900.0
1710,3,3.5,557000.0
3730,4,1.75,360000.0
940,2,1.0,352000.0
1750,3,2.5,437000.0
1820,4,2.5,322500.0
1510,3,3.25,650000.0
1290,3,2.0,450000.0
1570,3,2.0,278500.0
1930,4,2.5,364950.0
2840,4,3.5,840000.0
1550,3,2.5,268000.0
833,2,1.0,517534.0
2990,3,2.5,632925.0
2000,3,2.5,577500.0
2390,4,1.5,339000.0
2910,3,1.75,570000.0
2085,4,1.75,563500.0
2200,4,2.25,423000.0
1860,3,2.25,355000.0
950,2,1.0,482000.0
1600,3,1.75,625000.0
2250,3,2.5,538000.0
2280,3,2.5,380000.0
940,2,1.0,375000.0
1530,3,2.5,245000.0
2190,5,1.75,310000.0
2350,3,2.0,1300000.0
1440,4,2.0,397000.0
2200,3,2.5,365000.0
2290,4,3.0,328500.0
4040,4,3.0,988000.0
2610,4,2.5,1000000.0
1490,3,2.5,237000.0
2450,4,2.5,525000.0
1710,4,2.5,749000.0
4870,5,2.5,722500.0
3130,3,2.5,843000.0
1270,2,2.0,438000.0
2120,3,1.75,578000.0
1670,3,1.5,227950.0
2070,3,2.25,196000.0
1420,2,1.0,641000.0
1250,3,1.5,350000.0
940,3,1.0,205000.0
1920,3,1.75,400000.0
3545,3,2.5,1030000.0
1260,3,2.0,505000.0
2340,5,2.5,475000.0
2590,3,2.25,520000.0
3970,3,4.5,1450000.0
1220,3,1.75,333500.0
1400,3,1.0,232000.0
2360,3,2.75,691100.0
1870,3,1.75,811000.0
2830,3,2.5,551000.0
2260,3,2.5,496500.0
1970,3,3.0,705000.0
3140,4,2.5,578000.0
1240,3,1.75,255000.0
3450,4,3.5,1050000.0
2570,3,2.25,348000.0
1510,3,2.0,230000.0
2390,4,2.25,359500.0
980,3,1.0,330000.0
430,1,0.75,80000.0
1480,3,1.75,465000.0
1850,4,2.5,325000.0
2270,3,2.0,340500.0
1810,3,2.5,342500.0
1610,2,2.0,290900.0
3840,3,4.25,868700.0
4110,4,2.75,1199000.0
4190,4,3.25,1150000.0
3390,4,2.75,859900.0
1890,4,2.25,520000.0
1610,3,2.5,460000.0
1050,3,1.5,438924.0
630,2,1.0,315000.0
2910,4,2.75,590000.0
1700,4,1.75,378500.0
1950,3,2.5,328500.0
2990,3,3.0,849950.0
1350,3,1.5,525000.0
4860,4,3.25,1385000.0
